sentID,words,swapsEager,swapsLazy,swapsLazier,avgBlockSizeEager,avgBlockSizeLazy,avgBlockSizeLazier,avgAltBlockSizeEager,avgAltBlockSizeLazy,avgAltBlockSizeLazier,better
1,8,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
2,8,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
3,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
4,27,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
5,15,2,2,2,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,no
6,22,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
7,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
8,18,10,6,6,2.000000,2.000000,2.000000,1.000000,1.666667,1.666667,no
9,17,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
10,17,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
11,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
12,24,1,1,1,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,no
13,15,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
14,29,40,10,10,1.900000,2.200000,2.200000,1.000000,4.000000,4.000000,no
15,31,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
16,29,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
17,32,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
18,5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
19,52,41,7,7,1.365854,1.571429,1.571429,1.000000,5.857143,5.857143,no
20,12,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
21,12,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22,26,61,34,4,1.000000,1.000000,1.000000,1.000000,1.794118,15.250000,no
23,20,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
24,12,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
25,8,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
26,12,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
27,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
28,17,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
29,26,28,5,5,1.428571,1.600000,1.600000,1.000000,5.600000,5.600000,no
30,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
31,33,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
32,12,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
33,24,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
34,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
35,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
36,10,4,2,2,3.000000,3.000000,3.000000,1.000000,2.000000,2.000000,no
37,22,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
38,18,1,1,1,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,no
39,33,21,17,3,6.428571,6.294118,3.000000,1.000000,1.235294,7.000000,no
40,3,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
41,5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
42,38,12,9,2,1.250000,1.333333,2.500000,1.000000,1.333333,6.000000,no
43,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
44,6,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
