adj_left adj_right conseq_pro_3 conseq_pro_4 conseq_pro_>4 num_words pro sent_id shift swap
10 11 0 0 0 22 9 18456 22 0
9 4 0 0 0 14 7 19203 19 5
0 0 0 0 0 1 1 33766 1 0
5 8 0 0 0 14 5 948 14 0
19 6 0 0 0 26 15 7530 26 0
1 2 0 0 0 4 3 27624 4 0
30 25 0 0 0 56 24 11960 67 11
3 4 0 0 0 8 4 27011 8 0
14 2 0 0 0 17 11 28402 17 0
3 8 0 0 0 12 5 39303 12 0
2 7 0 0 0 10 5 19095 10 0
12 3 0 0 0 16 7 30989 17 1
5 7 0 0 0 13 6 25456 13 0
11 12 0 0 0 24 7 37343 26 2
6 7 0 0 0 14 7 13598 14 0
16 2 0 0 0 19 9 6064 20 1
7 3 0 0 0 11 5 15284 11 0
13 4 0 0 0 18 9 33265 18 0
2 1 0 0 0 4 3 22641 4 0
1 2 0 0 0 4 2 3141 4 0
15 7 0 0 0 23 11 26408 35 12
5 1 0 0 0 7 5 4208 7 0
9 7 0 0 0 17 7 9063 17 0
9 3 0 0 0 13 8 33736 13 0
5 5 0 0 0 11 6 21602 11 0
7 2 0 0 0 10 5 5042 13 3
3 12 0 0 0 16 6 19349 16 0
4 3 0 0 0 8 3 12257 8 0
28 14 1 1 1 43 26 26361 43 0
15 9 0 0 0 25 14 36354 26 1
6 11 0 0 0 18 9 13178 19 1
0 0 0 0 0 1 1 40077 1 0
8 7 0 0 0 16 9 25913 16 0
8 9 0 0 0 18 9 19709 19 1
5 7 0 0 0 13 7 7460 13 0
12 9 0 0 0 22 11 11627 27 5
4 8 0 0 0 13 5 34596 13 0
9 12 0 0 0 22 11 7243 29 7
13 14 0 0 0 28 12 4117 28 0
5 0 0 0 0 6 1 32584 6 0
3 12 0 0 0 16 6 35579 16 0
5 2 0 0 0 8 5 18241 8 0
0 0 0 0 0 1 1 12907 1 0
11 10 0 0 0 22 12 26053 22 0
9 10 0 0 0 20 10 16494 22 2
18 3 0 0 0 22 14 21294 27 5
6 9 0 0 0 16 8 19966 16 0
7 7 0 0 0 15 7 22196 21 6
4 1 0 0 0 6 3 17933 6 0
11 8 0 0 0 20 10 14407 20 0
2 3 0 0 0 6 2 25533 6 0
16 13 0 0 0 30 17 2715 33 3
0 2 0 0 0 3 3 32139 3 0
7 3 0 0 0 11 7 29424 11 0
6 11 0 0 0 18 6 6942 18 0
10 11 0 0 0 22 10 38584 26 4
14 8 0 0 0 23 11 26033 23 0
7 7 0 0 0 15 7 28460 15 0
7 10 0 0 0 18 7 17354 23 5
14 9 0 0 0 24 10 27839 24 0
1 0 0 0 0 2 2 13823 2 0
5 5 0 0 0 11 7 24862 11 0
6 7 0 0 0 14 6 27721 18 4
10 7 0 0 0 18 11 2607 19 1
4 3 0 0 0 8 4 36537 8 0
3 1 0 0 0 5 3 30564 5 0
4 3 0 0 0 8 5 31830 8 0
11 2 0 0 0 14 6 25335 19 5
4 3 0 0 0 8 4 21623 9 1
4 5 0 0 0 10 7 5230 10 0
1 3 0 0 0 5 3 7824 5 0
6 11 0 0 0 18 10 18878 18 0
13 11 0 0 0 25 12 22921 25 0
3 1 0 0 0 5 3 21682 5 0
5 9 0 0 0 15 7 36338 15 0
5 8 0 0 0 14 8 13631 14 0
7 8 0 0 0 16 6 31937 16 0
15 16 0 0 0 32 16 32474 46 14
33 12 0 0 0 46 20 4501 46 0
10 18 0 0 0 29 12 25580 29 0
6 6 0 0 0 13 6 24608 13 0
18 6 0 0 0 25 11 35828 25 0
12 2 0 0 0 15 8 15934 15 0
2 3 0 0 0 6 4 34117 6 0
3 0 0 0 0 4 3 23133 4 0
21 12 0 0 0 34 15 38134 37 3
12 9 0 0 0 22 12 1852 22 0
9 9 0 0 0 19 8 1890 20 1
0 0 0 0 0 1 1 15737 1 0
0 1 0 0 0 2 1 21365 2 0
14 8 0 0 0 23 10 13780 30 7
4 3 0 0 0 8 5 35391 8 0
10 4 0 0 0 15 7 6362 15 0
7 1 0 0 0 9 4 10020 9 0
9 8 0 0 0 18 8 5697 25 7
17 2 0 0 0 20 10 40374 20 0
8 8 0 0 0 17 8 38725 17 0
23 10 0 0 0 34 14 11688 36 2
3 1 0 0 0 5 3 38694 5 0
9 7 0 0 0 17 8 5016 18 1
7 13 0 0 0 21 10 17395 25 4
14 3 0 0 0 18 10 30405 18 0
1 2 0 0 0 4 2 25132 4 0
14 5 0 0 0 20 8 26313 23 3
13 2 0 0 0 16 9 9374 16 0
10 5 0 0 0 16 7 26865 16 0
26 19 0 0 0 46 25 16704 61 15
22 20 0 0 0 43 19 39031 46 3
6 10 0 0 0 17 9 1822 19 2
5 6 0 0 0 12 5 13637 15 3
9 10 0 0 0 20 8 23991 21 1
13 11 0 0 0 25 11 10364 25 0
2 2 0 0 0 5 2 7376 5 0
17 19 0 0 0 37 15 4366 42 5
0 0 0 0 0 1 1 32028 1 0
14 2 0 0 0 17 7 11249 19 2
11 16 0 0 0 28 12 1716 36 8
26 13 0 0 0 40 19 21080 42 2
7 6 0 0 0 14 6 34846 14 0
14 4 0 0 0 19 8 12310 19 0
8 8 0 0 0 17 7 38884 17 0
4 4 0 0 0 9 5 18351 11 2
13 6 0 0 0 20 8 39776 20 0
2 5 0 0 0 8 2 13078 8 0
20 23 0 0 0 44 21 5977 56 12
12 6 0 0 0 19 10 38112 20 1
6 5 0 0 0 12 6 20382 12 0
18 13 0 0 0 32 13 4618 33 1
0 2 0 0 0 3 3 12191 3 0
12 9 0 0 0 22 11 17980 22 0
8 12 0 0 0 21 10 23827 21 0
0 0 0 0 0 1 1 35465 1 0
10 14 0 0 0 25 8 15109 25 0
3 7 0 0 0 11 5 18420 11 0
3 0 0 0 0 4 3 27070 4 0
30 8 0 0 0 39 15 6172 39 0
10 11 0 0 0 22 9 32328 22 0
8 11 0 0 0 20 9 26500 32 12
11 8 0 0 0 20 9 23179 28 8
5 4 0 0 0 10 5 32649 15 5
14 15 0 0 0 30 12 35919 30 0
7 3 0 0 0 11 7 28271 15 4
6 1 0 0 0 8 5 26257 8 0
0 2 0 0 0 3 4 33424 3 0
4 6 0 0 0 11 5 17965 11 0
11 17 0 0 0 29 13 10370 29 0
13 0 0 0 0 14 9 24665 14 0
14 4 0 0 0 19 10 26723 19 0
7 11 0 0 0 19 10 35542 19 0
7 8 0 0 0 16 7 21417 17 1
18 18 0 0 0 37 16 30811 50 13
0 3 0 0 0 4 3 33410 4 0
4 2 0 0 0 7 3 38335 7 0
4 0 0 0 0 5 4 12335 5 0
8 10 0 0 0 19 10 22592 23 4
18 11 0 0 0 30 14 34214 36 6
6 3 0 0 0 10 4 15519 10 0
13 5 0 0 0 19 9 36560 19 0
10 1 0 0 0 12 6 33437 12 0
9 10 0 0 0 20 8 24306 27 7
14 8 0 0 0 23 8 6084 23 0
9 5 0 0 0 15 8 3360 16 1
4 6 0 0 0 11 6 16339 11 0
23 16 0 0 0 40 20 30023 49 9
6 2 0 0 0 9 4 38213 15 6
4 7 0 0 0 12 5 6993 12 0
7 10 0 0 0 18 7 16246 18 0
3 1 0 0 0 5 3 40263 5 0
14 6 0 0 0 21 10 29377 21 0
4 5 0 0 0 10 4 17546 10 0
2 6 0 0 0 9 4 21981 9 0
23 10 0 0 0 34 15 27686 48 14
6 0 0 0 0 7 1 12959 7 0
8 7 0 0 0 16 8 31711 16 0
9 14 0 0 0 24 13 1663 27 3
7 4 0 0 0 12 7 24372 12 0
10 6 0 0 0 17 11 30493 22 5
6 5 0 0 0 12 5 30587 12 0
3 4 0 0 0 8 4 17032 8 0
0 2 0 0 0 3 3 19606 3 0
9 0 0 0 0 10 6 35337 10 0
3 7 0 0 0 11 5 20104 11 0
6 6 0 0 0 13 8 26855 13 0
0 0 0 0 0 1 1 12947 1 0
3 4 0 0 0 8 5 17100 8 0
0 4 0 0 0 5 3 38404 5 0
1 0 0 0 0 2 2 3465 2 0
10 8 0 0 0 19 10 6342 22 3
13 5 0 0 0 19 9 23422 28 9
24 18 0 0 0 43 20 7599 47 4
9 7 0 0 0 17 8 24555 19 2
13 15 0 0 0 29 14 25929 30 1
11 10 0 0 0 22 11 29832 22 0
8 8 0 0 0 17 9 28284 17 0
11 12 0 0 0 24 14 32688 24 0
7 8 0 0 0 16 8 7030 20 4
16 4 0 0 0 21 9 30992 21 0
0 2 0 0 0 3 1 8841 3 0
4 12 0 0 0 17 5 30566 17 0
14 4 0 0 0 19 9 21273 19 0
0 0 0 0 0 1 1 30376 1 0
5 5 0 0 0 11 6 9629 13 2
18 8 0 0 0 27 12 18451 27 0
0 0 0 0 0 1 1 3390 1 0
6 4 0 0 0 11 7 524 16 5
28 16 0 0 0 45 22 12347 57 12
5 1 0 0 0 7 4 3633 7 0
9 8 0 0 0 18 7 22612 22 4
12 1 0 0 0 14 7 8797 15 1
10 2 0 0 0 13 7 491 13 0
13 17 0 0 0 31 13 29501 31 0
9 0 0 0 0 10 3 16353 10 0
13 10 0 0 0 24 13 2165 26 2
17 18 0 0 0 36 16 16345 56 20
22 7 0 0 0 30 14 24584 30 0
13 18 0 0 0 32 16 34166 36 4
0 1 0 0 0 2 2 23458 2 0
12 17 0 0 0 30 18 30241 30 0
14 9 0 0 0 24 10 16105 24 0
16 15 0 0 0 32 14 4494 40 8
1 4 0 0 0 6 4 3578 6 0
0 1 0 0 0 2 2 38401 2 0
13 20 0 0 0 34 16 34457 41 7
2 5 0 0 0 8 4 22550 8 0
10 9 0 0 0 20 12 27019 22 2
10 7 0 0 0 18 7 15611 18 0
16 7 0 0 0 24 12 22507 34 10
16 7 0 0 0 24 12 19220 24 0
20 16 0 0 0 37 16 31687 37 0
2 2 0 0 0 5 4 20378 5 0
0 2 0 0 0 3 3 18143 3 0
10 7 0 0 0 18 9 4054 18 0
17 6 0 0 0 24 12 30907 24 0
18 9 0 0 0 28 12 15544 28 0
4 3 0 0 0 8 4 1980 8 0
14 14 0 0 0 29 13 10249 33 4
14 11 0 0 0 26 11 19666 26 0
15 12 0 0 0 28 14 6649 28 0
8 0 0 0 0 9 5 21940 9 0
3 3 0 0 0 7 6 15263 7 0
14 12 0 0 0 27 11 36435 27 0
11 2 0 0 0 14 9 35355 14 0
0 2 0 0 0 3 3 13767 3 0
4 3 0 0 0 8 5 17997 8 0
13 15 0 0 0 29 13 7430 32 3
5 2 0 0 0 8 4 5694 8 0
0 0 0 0 0 1 1 29561 1 0
7 4 0 0 0 12 7 22065 12 0
9 2 0 0 0 12 5 36677 12 0
0 0 0 0 0 1 1 20383 1 0
24 5 0 0 0 30 7 23261 30 0
1 2 0 0 0 4 3 13335 4 0
10 15 0 0 0 26 11 3365 30 4
6 3 0 0 0 10 5 721 10 0
8 6 0 0 0 15 6 36409 18 3
0 2 0 0 0 3 3 24686 3 0
11 5 0 0 0 17 9 4737 17 0
11 17 0 0 0 29 10 14101 30 1
2 1 0 0 0 4 3 11333 4 0
14 13 0 0 0 28 10 13847 28 0
4 11 0 0 0 16 8 5560 16 0
11 3 0 0 0 15 9 20078 15 0
9 16 0 0 0 26 9 19668 26 0
1 3 0 0 0 5 3 2972 5 0
31 20 0 0 0 52 24 23462 52 0
7 10 0 0 0 18 7 4887 18 0
11 6 0 0 0 18 8 4594 18 0
6 7 0 0 0 14 6 9926 17 3
3 2 0 0 0 6 3 17946 6 0
7 8 0 0 0 16 8 38083 16 0
0 0 0 0 0 1 1 9067 1 0
10 6 0 0 0 17 7 14718 18 1
8 5 0 0 0 14 6 1383 14 0
9 8 1 0 0 18 13 12151 18 0
13 8 0 0 0 22 11 12562 22 0
25 12 0 0 0 38 14 37371 38 0
10 9 0 0 0 20 10 40219 26 6
15 5 0 0 0 21 11 27549 21 0
16 0 0 0 0 17 8 15803 17 0
6 11 0 0 0 18 10 26940 21 3
9 6 0 0 0 16 7 9979 16 0
12 7 0 0 0 20 10 30827 20 0
9 7 0 0 0 17 7 22996 17 0
20 13 0 0 0 34 17 1112 42 8
10 11 0 0 0 22 11 37528 30 8
2 5 0 0 0 8 2 35866 8 0
12 12 0 0 0 25 12 705 28 3
18 10 0 0 0 29 14 36687 33 4
11 9 0 0 0 21 11 16046 21 0
8 12 0 0 0 21 9 37756 21 0
15 13 0 0 0 29 11 4567 29 0
25 9 0 0 0 35 16 16320 43 8
13 16 0 0 0 30 12 26854 43 13
10 13 0 0 0 24 12 32361 24 0
6 6 0 0 0 13 5 3539 13 0
15 10 0 0 0 26 12 1038 30 4
2 5 0 0 0 8 2 12605 8 0
12 7 0 0 0 20 8 4696 21 1
8 5 0 0 0 14 7 13971 16 2
11 14 0 0 0 26 14 1588 32 6
2 6 0 0 0 9 3 36031 9 0
6 16 0 0 0 23 9 20782 23 0
0 0 0 0 0 1 1 4440 1 0
13 9 0 0 0 23 10 9920 23 0
20 28 0 0 0 49 20 37427 61 12
7 9 0 0 0 17 9 971 23 6
8 10 0 0 0 19 9 25830 19 0
13 6 0 0 0 20 7 35582 30 10
3 10 0 0 0 14 7 7795 14 0
1 5 0 0 0 7 3 20672 7 0
3 9 0 0 0 13 6 15781 13 0
0 1 0 0 0 2 2 16911 2 0
13 13 0 0 0 27 12 291 29 2
1 4 0 0 0 6 4 21498 6 0
10 13 0 0 0 24 12 9734 30 6
22 6 0 0 0 29 16 29431 30 1
6 6 0 0 0 13 7 4087 20 7
9 7 0 0 0 17 10 3727 17 0
8 2 0 0 0 11 5 393 11 0
1 0 0 0 0 2 1 10083 2 0
8 2 0 0 0 11 5 4627 11 0
1 2 0 0 0 4 3 901 4 0
4 3 0 0 0 8 4 30571 11 3
11 9 0 0 0 21 11 14817 21 0
4 0 0 0 0 5 3 3410 5 0
12 1 0 0 0 14 6 1678 14 0
14 10 0 0 0 25 11 26822 27 2
16 19 0 0 0 36 18 37217 39 3
13 17 0 0 0 31 13 29750 32 1
11 2 0 0 0 14 8 17628 14 0
20 10 0 0 0 31 15 34109 34 3
8 9 0 0 0 18 6 20892 18 0
4 9 0 0 0 14 8 14815 14 0
7 3 0 0 0 11 6 33394 11 0
5 0 0 0 0 6 4 20572 6 0
1 2 0 0 0 4 3 24901 4 0
2 5 0 0 0 8 2 22572 8 0
14 4 0 0 0 19 11 12670 22 3
3 0 0 0 0 4 3 30017 4 0
10 5 0 0 0 16 7 856 16 0
3 2 0 0 0 6 4 28095 6 0
15 12 0 0 0 28 13 25683 30 2
3 1 0 0 0 5 3 15355 5 0
0 0 0 0 0 1 1 15200 1 0
19 11 0 0 0 31 15 363 32 1
4 4 0 0 0 9 5 3535 13 4
5 4 0 0 0 10 5 14441 10 0
0 0 0 0 0 1 1 3383 1 0
19 30 0 0 0 50 23 13494 57 7
16 8 0 0 0 25 11 24348 29 4
2 0 0 0 0 3 3 27327 3 0
11 10 0 0 0 22 10 30831 22 0
4 10 0 0 0 15 8 31359 15 0
9 10 0 0 0 20 11 25024 33 13
4 12 0 0 0 17 9 13662 21 4
12 5 0 0 0 18 9 38816 22 4
10 15 0 0 0 26 11 10781 26 0
9 8 0 0 0 18 9 7113 24 6
6 6 0 0 0 13 7 5841 13 0
1 6 0 0 0 8 4 1605 8 0
5 8 0 0 0 14 7 5919 14 0
3 0 0 0 0 4 3 34938 4 0
11 2 0 0 0 14 9 38938 14 0
32 8 0 0 0 41 18 11373 46 5
11 9 0 0 0 21 7 28736 21 0
6 3 0 0 0 10 7 11637 10 0
2 2 0 0 0 5 2 36153 5 0
0 5 0 0 0 6 3 16060 6 0
7 0 0 0 0 8 5 37421 8 0
6 10 0 0 0 17 6 11169 17 0
6 7 0 0 0 14 8 2833 16 2
